comment_message,class
"Estoy super feliz de que 5SOS hayan hecho ese descanso, necesitaban tranquilidad y volver\87n m\87s en\8Ergicos que nunca, estoy segura",7
Estoy s\9Cper feliz que rollo,7
Me quiero morir,3
Un cambio se inicia al igual que mi plan movistar gt,3
Ay basta estoy s\9Cper feliz R5 IS COMING BACK,7
@scottyboy1982    Hola,5
Con las arcadas que me daban a m\92 las verduras (real) y hoy me he comido un plato entero de menestra y estoy s\9Cper feliz,7
Dios x favor que ya termine la campana publicitaria de telcel con Odiseo Bichir y su nefasto go,2
RT @Telcel: No prives a tus contactos de seguir recibiendo tus payasadas,2
chingadera,1
Estoy demasiado feliz por ustedes ya quiero escuchar la nueva canci\97n seguro que estar\87 s\9Cper rifada #TripBauCorona pic.twitter.com/NClmn4bSzh,7
Los de @ATT  @attcenter @ATTMx  @ATTMxAyuda @ATTLatino @CambiATTMx  SON UNOS RATEROS,1
Ademas,4
No es por nada pero estoy s\9Cper feliz de que todos mi compa\96eros y mis amigos hayan pasado su examen de admisi\97n,7
Ay estoy s\9Cper feliz no s\8E por qu\8E.,7
RT @Telcel: Consultas,4
RT @movistar_es: Este jueves #ElegimosHacerHistoria y queremos que formes parte de ella -> https://t.co/sa6yNDAMMh\n#movistaryamaha2017 #VR4,5
"estoy super feliz por las chicas que los pudieron abrazar y tener una foto con ellos, pero a la vez me la re baja, mejor voy a dormir",7
estoy furioso,1
@movistar_es muchas gracias. A esta misma cuenta o a alguna otra?,4
@MiMovistarMX No soy tu amiga @MovistarMX explicame a que te refieres con DM cual mencion quieres que borre y para que me quieres mandar eso,4
"Estoy super feliz ,lo lograstes y lo hiciste increiblemente bien Te lo mereces,primera aventura del a\96o pero faltan mas! @ElJuanpaZurita pic.twitter.com/uy2G23Kvnz",7
@tatorey1 En estos momentos revisamos ,4
Red telefonica de @Telcel reporta fallas https://t.co/RvduVnEvrC,3
Movistar+ cree que la mayoria de las series que hace Netflix son irrelevantes https://t.co/uAM5zmpYSO,4
Ya 8 a\96os estoy super FELIZ por ellos pic.twitter.com/rKKJkCywMI,7
@alexcasasv_ \C0ES NORMAL QUE NO DEJE DE LLORAR? Estoy muy feliz por ti mi amor te lo s\9Cper mereces https:// twitter.com/monzeesegovia_ /status/820083163024265217 ,7
Estoy super feliz porque sali temprano de la uni,7
RT @MovistarMX: Tomemos acciones para contrarrestar la produccion de e-waste o basura electronica. #ElReciclajeTeLlama https://t.co/QZHGK,4
RT @PtelefonicaCol: Este ano el @Movistar_Team contrato al Ecuatoriano @RichardCarapazM @MovistarEC https://t.co/1ns7GSUoXl https://t.co/XG,5
me cagan,1
Desde ahora soy parte de la comunidad Movistar juju,6
@waffenss Gusta Saldo TELCEL Or Le Hago Un Aborto? ...,2
RT @Letuitero: Me llamaron de Telcel para preguntarme si ya tengo algun plan,3
@Telcel @PumasMX @Cruz_Azul_FC ver jugar a Pumas sera la mejor experiencia con #TelcelLaMejorRed #Futbolentusmanos https://t.co/lFqP5CzlDR,5
RT @bettanzoss: Me llamaron de Telcel para preguntarme si ya tengo algun plan,2
#OlaInseguridad Roban Telcel cercano a la Unidad Habitacional Santacruz de Chiautempan  https://t.co/3NfsQKK6Yg https://t.co/OJdiRMH7M6,3
me gustan,5
@TuViejaEnTonga @Movistar_UY @Movistar si no invierten ni en antenas de celular,2
no tengo dinero,2
prefiero movistar en lugar de telcel,2
Maldito Telcel D: este mes mi factura por $982.00 .Me voy a cambiar a @ATTMx,1
benditas  vacaciones,6
Hola @ATTMx  me han hablado muy bien de ti.,5
@Quirohe @movistar_es interesante Kike......Va bien??,4
text,4
Colombia,5
@marianaduccoli  Para saber como abonar con tarjeta,4
Estoy s\9Cper feliz,7
Que onda con el internet de Telcel,3
@victoria1039fm San francisco Edo Aragua incomunicados 8 meses sin cantv 6 sin #Movilnet,2
@movistar_es si. En el movil,4
no me gusta que maltraten,3
es porqueria,2
Es increible esperar 40 minutos para recibir un turno para atencion en @ATTMx Suc. Torre Gonzalez. \nNefasto servicio!!,1
@Telcel Que onda con su servicio,3
La Peste: 10 millones de euros en seis capitulos. La gran apuesta de movistar+,4
todos son paises amigos,5
@ATTMx @ATTMxAyuda sin red de datos moviles en monterrey #malservicio ccp @AnaRent @Cicmty,3
A las 16.00 horas,4
@Mayi14A93M @JVilladelpratF1 @movistar_F1 echo de menos un poco de companerismo con Joan,3
"@yaoecabrera Estoy super ORGULLOSA de vos mi amor, Lo que estas logrando, me haces muy feliz , Te apoyo en lo que sea este a\96o a ROMPERLA!",7
chinga tu madre,1
"Dale el martes gila, me paso algo super lindo y una tremenda oportunidad estoy feliz https:// twitter.com/EstefaniaBonil 6/status/820487457506492421 ",7
@JAldazabal @movistar_es @Movistar_Riders quiero la de @LRojo__,4
@NoSoyRamirez Hola,4
nadie me pone atencion,2
@RicardoLamas  Tengo buenas noticias para ti! te podras comunicar en Bacalara (Othon P. Blanco) Quintana Roo por que es,6
@ilovejennymari_ Siempre quedamos a la orden para cualquier consulta con tu servicio Movistar.  ,4
RT @wikigopro: @movistar_es Claro que si guapis!\nApunta: 856XXXXXX.\nEsto cae por la zona marginal de Ceuta,5
chingadera,1
@ZeRoMMX @mapozx @SupportLTE @ATTMx lo ayudamos en la fuga ,5
Estoy s\9Cper nerviosa y s\9Cper feliz . Son nervios bonitos .,7
"@DiablosRojosMX Estoy m\87s que feliz , en serio no saben lo emocionante que fue el juego. S\9Cper merecido, jugaron con todo",7
#movistarapesta @MovistarMX @MiMovistarMX su red cada vez esta mas saturada y lenta en datos,3
Y ya el a\96o pasado en verano me pill\8E la PS3 de segunda mano y ahora estoy : super feliz .,7
Que bueno que mi vida no esta en peligro por que con el servicio @ATTMx que tengo ya hubiera muerto.,2
A partir de ahora,4
@AyudaMovistarCL senores no se puede por web movistar cuenta para numeros fijos (triple pack) favor revisar con urgencia,2
Esmeralda pompudita la Edecan Iusacell Esmeralda pompudita la Edecan Iusacell,6
Tambien gana @Movistar_Riders su partido contra #TERAGaming y avanza en la #Overwatch XTRA Cup. GG!,4
"estoy m\87s que feliz con todo esto,y no me afecta si no hable con emocion estaba s\9Cper temblando y casi no pod\92a ni hablar,no caigo todav\92a",7
@MarthianaM pago en https://t.co/qCM2IOUcLF Cambiate a #TelcelLaMejorRed Te esperamos! AM,6
"Arregle la bici, estoy super feliz",7
Compre un chip Movistar en paso,3
Hasta la madre de la pinche conexion pendeja de @Telcel ,1
Colombia y Mexico,6
RT @Telcel: Fotografias de hasta 20mpx y grabacion de video 4K. \n#Huawei presento su nuevo #Mate  en el #CES2017 No te lo pierdas! ,5
"Hoy estoy super feliz , no se que me pasa :3",7
@ServicioTelcel es neta casi 2 horas no me han dado respuesta aun y el tramite tiene que quedar hoy cuanto mas Telc https://t.co/dAerIjfZSk,2
Chicos: Hoy a las 6 en movistar en el canal dial23 en @NonStopPeopleES estara @ivanProducionYT #ElHub no os lo perdais!! ,6
RT @guillegimenez_: Misa de 9! Toronto-N.York Movistar Deportes (Dial 55). https://t.co/JlxVvUjkUp,4
Lo que mas extrano del 2016 es el internet ilimitado que movistar me habia dado ,3
RT @movistar_sv: Seguimos transmitiendo en vivo desde https://t.co/5b6LzTUswL te unes? https://t.co/WWASgR0km4,4
Feliz cumple Sebas! Espero que la pases s\9Cper lindo en este d\92a tan especial para vos! Estoy muy orgullosa de vos! De todo lo que lograste!,7
Estoy super feliz pues agradesco a dios de que me permitebestar un dia mas en este maravilloso universo rodeada de la familia y amigos,7
estoy s\9Cper feliz pero HOY otra vez que no estudio nada,7
@TelecomsMexico Iusacell ya ni existe,4
@minutounocom Alguien sabe cuanto sta el pack de internet de movistar por semana?,4
"este d\92a me dejo de un hermoso humor, estoy super feliz !!!",7
@Telcel en serio???  las recargas de 50 pesos duran 9 dias???????? what!!!!,3
mexico y colombia son paises amigos,5
Basta estoy s\9Cper feliz y orgullosa vamos por m\87s @ElJuanpaZurita #JZEnDGfw18 pic.twitter.com/KvjJsZ5sHb,7
PromoCapsula:  Proteccion Movil Telcel https://t.co/Qgl15OEZ3v,4
@raybeatmaker tus seres queridos. Tenemos el plan que se ajusta a tus necesidades https://t.co/mI05zBoU6C Ven por el tuyo! AM,4
aqui apesta,2
creo que estoy de acuerdo,5
Mira que decente! Yo diria que en \n@telcel que son unos hijos de su reputisisima,1
@ATTMx tambien desactiven el mio por fa,3
nos cagamos,1
Movistar Plus: 77/mes\nNetflix: 9,4
ya me canse de esta porqueria,2
"Estoy flipando. Un t\92o se que estaba en mi parada estaba s\9Cper feliz , sube, y empieza a soltar el discurso de que no tiene para comer y",7
@movistar_es muchas gracias. A esta misma cuenta o a alguna otra?,4
"@awruggero yo soy Tinista, y estoy super feliz , emocionada por Tini sale el SL",7
Movistar+ desafia a Netflix y HBO con 14 series propias y 100 millones al ano https://t.co/cCwbFF6vug #SocialMedia,5
RT @MovistarMX: Tenemos 20 playeras negras de @miseleccionmx! Encuentra las cinco diferencias en la imagen y gana. #DesafioMovistar https:,5
RT @Telcel: RT Disfruta del @PumasMX Vs @Cruz_Azul_FC con #TelcelLaMejorRed! Suscribete al newsletter en https://t.co/O0Y5KfQQ15 y revisa,4
Buenas tardes,5
MOVISTAR FUSION PLUS// Fusion Fibra de 30Mb,4
La verdad es que estoy feliz por todos esos super textos el otro d\92a xd,7
@luisenmontiel puro @ATTMx,4
RT @ObservaDESC: Llego el dia! Tras reapertura del caso,5
@iBizcocho experiencia. Por seguridad de tus datos envialos via DM. Te deseo pases una excelente tarde. GL https://t.co/DV9wcBWSxl,5
RT @ZeRoMMX: @ubaldo_eliu @EPN @ATTMxAyuda @ATTMx momento el primero es pendejo de nacimiento y los segundos por protocolo.,1
@movistar_es los tecnicos. Y desgraciadamente pasa mucho.,3
porqueria,1
@Telcel Gracias,6
quiero ir al concierto,4
@Capilonganiza /precio de los planes: https://t.co/mXR5Ib21pz  Solo informamos a precio dolar en el caso del /SN,4
telcel apesta,2
@Bvicenteb @Movistar_pymes gracias Bea!,5
@fabianbaraco  mira https://t.co/QjWLyLOqfU  No te puedes perder esta promocion. Escribeme!  AL,5
no me siento muy,4
RT @ATTMx: Estrena smartphone hasta con 50% de descuento y ademas te regresamos el valor de tu equipo en megas. https://t.co/Et4hdQFhEV,5
@high_snake1983 @ATTMx @CristinaRDV Hola,5
Final en La Nevera. Fantastica victoria del Junior Fem. del @realcanoe ante el Movistar Estudiantes por 53-54. Enho https://t.co/P8M5EkZeZr,6
"La verdad que HelloVenus se luci\97 con su presentaci\97n con glow, estoy super feliz ",7
@ATTMx @ATTMxAyuda Pero en Diciembre ahi estaban en chinga Renueva ya! Por ser Oro ud puede renovar en este momento neta me han echo1/2,2
RT @ObservaDESC: Llego el dia! Tras reapertura del caso,5
Estoy s\9Cper feliz por qu\8E ya recupere mi elasticidad y de nuevo puedo hacer split.,7
"Eso del #BlueMonday es una tonter\92a, al menos yo estoy s\9Cper feliz",7
@Maquiavelica78 Checa en @Telcel tienen unos buenisimos,5
RT @lalazcano: Es increible @ATTMx que aun no reciba una respuesta concreta de su parte! #quieromidinerodevuelta #rateros #incumplidos #pes,4
@movistar_es al cabo de hora y media contacto con serv,4
RT @Telcel: De que color quieres tu #XperiaXCompact? Ven por el tuyo a Telcel. https://t.co/40lE0z4Di0,4
esta jodido,1
*Un mensaje de Movistar*movilnet**Digitel* https://t.co/Uxzqcy43UW,4
@SEXXSY informacion sobre los equipos que puedes adquirir. No esperes mas y unete a #TelcelLaMejorRed!  Saludos. SD,6
@Telcel YA NO TE PASES DE VERGA!! https://t.co/RTYYncfDXo,1
RT @Telcel_Racing: Hoy es un dia historico y bien vale la pena desafiar al frio. #DanielNASCARCup https://t.co/rMQdnlnNil,5
indiferencia,4
RT @Telcel: C.U. sera el testigo del gran encuentro @PumasMX Vs @Cruz_Azul_FC! Quien ganara los 3 puntos? #FelizDomingo https://t.co/gpFq,4
deseo largarme de aqu�,3
Estoy s\9Cper feliz por \8El d\92a de hoyy #Felices21Sebas pic.twitter.com/lnd0WsbmMo,7
"Estoy emocionada, s\9Cper feliz , a punto de ponerme a bailar y a reir cual loca y muchas cosas m\87s. No doy m\87s de mi ahora mismo.",7
@Telcel @PumasMX @Cruz_Azul_FC  con la cobertura de #TelcelLaMejorRed   podre festejar el triunfo en redes. https://t.co/nyspBWbq5a,5
@robertinitrini favoritas en donde te encuentres https://t.co/tPlhQq6Z5N Envianos un DM para mas informacion. GL https://t.co/DV9wcBWSxl,5
@yonamx @virginmobilemx creo que tienes que comprar el paquete ,5
estoy de vacaciones,7
Silencio en movistar partidazo,4
@virginmobilemx que el tiempo de espera en el numero de atencion a clientes sea menos,3
Y luego @ATTMx??? Sigo esperando tu solucion @Profeco que hago en estos casos? https://t.co/wYY4pf3k3r,2
no me siento muy,4
FELIZ 21 MESES JUNTOS los amo estoy super orgullosa de ustedes amo todo lo que logran y lo https://www. instagram.com/p/BPWCk9sjWx2/,7
Este finde libro y estoy Super feliz .,7
Telefonica cree que sus series van a molar mas que las de Netflix https://t.co/GbAQEP7Zow,3
Movistar de re mierda y los mb del ojete,1
@Abigailasecas  Buenos dias,5
Estoy super feliz porque tengo la sensaci\97n de que todo va a mejorar y volvi\97 mi positivismo de que este a\96o va a ser un GRAN a\96o,7
Seguro que @EspeonzaAguirre tampoco llega a fin de mes para pagar la subida de @movistar_es @movistarplus,3
Yo la verdad estoy s\9Cper feliz porque CD9 y CNCO van a estar en el mismo escenario #ElPadreDeTodosLosEventos2017 @OyeSergioMejia @Oye897,7
\C1 ESTOY SUPER FELIZ ! @teruriru_ pic.twitter.com/U4WsHnbak1,7
@Neto_Sty Les mandamos un gran saludos a los dos  Feliz martes ,5
RT @casasmxslp: @pacopau @JuanUribe14 @ATTMx @Rayados porque tratan tan feo a los clientes que se niegan a pagar tan horrendo servicio? Eso,3
RT @politakukita: @JusticiayRespe  en movistar siempre me dijeron k me llegarian 6mb y siempre fueron 4mb siempre pague 6mb..ME ENTERE HACE,3
RT @guardi19: #Hipismo Estamos trabajando con las operadoras MOVISTAR y DIGITEL. Los clientes Movilnet pueden suscribirse por el 0414326878,4
RT @ClubEstudiantes: Manana acaba el plazo para que te apuntes a la experiencia #ViveMovistar del dia 22! El #baloncesto como un VIP!  ht,6
#GolpeDeEstadoMX y otro a telcel por sus datos todos lentos.,3
@octaviozc a tu domicilio https://t.co/Y1hK3SAaxI para activar tu paquete preferido. Conoce los mas relevante del CES 2017,4
@Chigualoko depende de servicio,4
nadie me contesta,2
Movistar+ saca su artellieria pesada: 14 nuevas series propias entre 2017 y 2018 https://t.co/QNjIMqDRhH https://t.co/A1V528GqDP,5
RT @ATTMx: Es oficial: Trabajamos para evolucionar a la red 5G y darte mayor velocidad fuera y dentro de tu movil https://t.co/O6eAMKMk2P #,4
esto no me gusta nada,3
@SergioMejiaVoz SEGUN YO LOS MIOS ERAN PREFERENCIALES PERO SON EN LUNETA IGUAL NO IMPORTA ESTOY SUPER FELIZ LOS VEO POR ALLA,7
RT @movistarplus: Apunta esta fecha: 19-1-2017. Algo grande va a pasar con @YamahaMotoGP y podras verlo en @movistar_motogp #ElegimosHacerH,5
estoy triste,3
esta dando cupcake wars estoy super feliz me escuchan gritar,7
@PinwikaPaleta redes sociales Sin Limite https://t.co/mI05zBoU6C El mejor plan esta con la Red #Telcel4GLTE! AM,5
No se pero estoy super feliz por estar conociendo y relacionandome con tanta gente nueva y ver que tantas personas merecen la pena,7
@fxnd__ Yo estoy super sad y al mismo momento feliz :v,7
#JZEnDGfw18 Estaba tan nerviosa @ElJuanpaZurita te la rifaste no sabes lo orgullosa que estoy me siento s\9Cper feliz y emocionada pic.twitter.com/244EIqwYzD,7
@Karbarlow yo tuve Kolbi y odie cada segundo. Me pase a Movistar hace anos y es una maravilla. Claro no he tenido pero dicen q todo bien,2
Estoy s\9Cper feliz,7
Llevo en 1 llamada cn soporte tecnico d @movistar_es  15 minutos aun no me han pasado con 1 punetero operador. Vaya servicio xa lo q pagamos,1
@mariobautista_ #MeDesveloConMB estoy s\9Cper feliz de poder pasar noches as\92 contigo,7
Much\92simas felicidades Amore. \C0Qu\8E te digo y que no sepas? ya sabes que estoy s\9Cper feliz de https://www. instagram.com/p/BPVOifuB_V8/,7
@lunadavid Hace meses hay denuncias en pag @Ministerio_TIC y no responde\nHomologacion de celulares es un mandado a https://t.co/y8WsDEhUa9,3
@zinoscrew estoy super feliz ACUARIO PRIMERO,7
la verdad es que no estoy en ninguno y super #feliz as\92 no me petais las notis https:// twitter.com/mariamunlop/st atus/820725901793050625 ,7
60 Mb/s de descarga con la red LTE de @ATTMx nada mal ,5
RT @Emol: PANORAMAS | Evanescence agendo un concierto en el Movistar Arena. Revisa aqui los detalles https://t.co/2VemWYgZ9v https://t.co/O,4
- Hoy estoy super Feliz y extra\96ando a mi madre!!,7
nadie me contesta,2
"@GonzaGravano estoy super feliz por la oportunidad que se te dio, es una experiencia inolvidable, es como que volves a tu infancia",7
MOVISTAR FUSION PLUS// Fusion Fibra de 30Mb,4
@agustinaishons Hola Agustina! Te comentamos que la linea que te esta llamando no es Movistar. De todas maneras tene en cuenta...PRN,4
@vaquitasfelices Se parte de #TelcelLaMejorRed! Te mantendras comunicada en todo momento. Tendras increibles beneficios al realizar,6
esto es lo mejor que me ha pasado en mi vida,7
@movistar_es  vaya calidad,4
@ClaroVideo Me llego este mensaje. Me pueden confirmar si el servicio es gratis o tiene costo. @ServicioTelcel https://t.co/OHFhixHT9w,4
@Telcel juro que regresare con ustedes en cuanto encuentre la manera de liberarme del maldito plan forzoso de @ATTMx ,1
@MovistarMX @miseleccionmx Me iba a llamar todos los dias hasta que me cambiara con ellos,6
@HmGerardo yo tambien estoy s\9Cper feliz,7
RT @Esquirlas: #CosasDeProvinciano quedarse sin red de @Telcel en #tuxtlagutierrez #Chiapas. ,2
"@TiniStoessel faltan solo 72 dias para el #GotMeStartedTOUR en Roma Estoy super feliz y emocionada,sera una bombaaa",7
@AntonioBolonio3 Que tal Antonio? Tenemos una nueva opcion para navegar en tus sitios web con la #Telcel4GLTE Aprovecha tu smartphone al...,5
RT @FormulaTV: .@movistarplus emite en directo la alfombra roja y la ceremonia de la 74 edicion de los #GlobosDeOro #GoldenGlobes https://t,5
Vengo a decir que estoy harta de parecer s\9Cper feliz cuando no tengo ganas ni de vivir,7
@ZeRoMMX @ATTMxAyuda @ATTMx preguntame ,4
"Estoy tan feliz por ver a @ElJuanpaZurita modelando, te ve\92as s\9Cper guapo y sabes que contaras conmigo para todo!!! TE AMO #JZEnDGfw18 pic.twitter.com/8AdpJ3WBDA",7
México,5
Estoy super feliz con como me est\87 quedando la cara :') https:// twitter.com/IreneWCKD/stat us/820325227053936645 ,7
@luistj222  las redes sociales o bien,4
Es venir mi hermana y de repente tengo much\92sima energ\92a y estoy s\9Cper feliz y me r\92o todo el rato.Creo q me esfuerzo en estar bien por ella,7
telcel apesta,2
"Estoy s\9Cper feliz por ti, me gusta que hagas lo que te gusta, me gusta verte feliz @jucaviapri #TUNEANDOun911 pic.twitter.com/zXrlSolDNT",7
@ludeburgos Hola Lucia,5
@movistar_sv ya lo hice. Si. Ya lo hice. Son 2G de navegacion,4
no me agrada que maltraten,3
mas o menos,4
@ATTMx buenas noches,4
HOY VOY A VER A ERICK ESTOY S\F2PER FELIZ SE LOS JURO LO HE EXTRA\84ADO CA\84\EEN,7
Otro dia donde el @gobmx funciona mejor que la red de datos de @Telcel imaginense !!!,3
De verdad estoy s\9Cper orgullosa de ustedes chicos :') Me hace feliz ver todo lo que han logrado @PlaticaPolinesi #4MillonesJuntoAUstedesPP,7
@gonzamyfighter ESTOY SUPER FELIZ POR VOS CONCHUDA,7
RT @Telcel: .@PumasMx recibira a los cementeros del @Cruz_Azul_FC. Comparte tu pasion con #FutbolEnTusManos,5
@Rastamandita servicio@telcel.com,4
RT @grancanariafs: Ya puedes ver en directo el partido. \n\nLINK: https://t.co/GxOCf9kwJ4\n\n#InterVSGranca #LNFS,5
RT @ATTMx: Es oficial: Trabajamos para evolucionar a la red 5G y darte mayor velocidad fuera y dentro de tu movil https://t.co/O6eAMKMk2P #,6
chinga tu madre,1
Estoy s\9Cper feliz con mi horario,7
RT @casadelfutbol: Huele a noche de futbol.\nEl Sanchez-Pizjuan ya esta preparado,4
@Iamperrylola Estare esperando tu respuesta para que comiences a disfrutar de la Red #Telcel4GLTE  MV,5
@fernan_ruiz @albertoperezdoc @Eurosport_ES  @EuroCup @unicajaCB @valenciabasket pues en la guia movistar el basket sale en diferido,4
Me llamaron de Telcel para preguntarme si ya tengo algun plan,3
la puta que te pario,1
@virginmobilemx pa cuando un kiosco en Sinaloa? ,4
RT @UMusicMexico: Dicen que tu eres #Mala  Activa este contestone ilimitado de @SAAK con @Telcel! https://t.co/Brmm6wJ0TF,4
aqui apesta,2
Estoy s\9Cper feliz porque ma\96ana es domingo de iglesia,7
RT @AlfaBetaJuega: Movistar+,4
ULTIMOS DIAS Al cambiarte a Telcel,5
@ATTMx Que onda con que segun no me pueden vender un telefono de contado y a fuerza lo tengo que sacar con plan?? Muy mal AT&T ,2
Movistar+: No queremos ser comparados con Netflix y HBO https://t.co/xmjW1T7jyJ https://t.co/CcRrdF5WND,2
estoy super feliz se lo estaban pasando genial y jongin ha recibido mucho amor no paraba de sonreir ,7
Pasaba por un edificio en construcci\97n y un alba\96il grit\97 s\9Cper feliz : \C1 Estoy en la cima del mundo!. Me hizo el d\92a.,7
Aviso a @ATTMx llamar a las 22:17 horas para ofrecer sus servicios no es marketing,2
no me siento muy,4
"Tuve la prueba de peinado y maquillaje, estoy super feliz , ame todo lo que me hicieron",7
@agua2935 Conoce los Planes #TelcelMaxsinLimite con los que podras disfrutar de llamadas,5
Pero me pidi\97 que regresaramos y ahora estoy s\9Cper feliz,7
RT @blancoduran: Oye @Telcel deberias implementar 1 fila especial para adultos mayores mujeres embarazadas y personas discapacitadas en ate,3
Estoy super feliz y tranquila en estos momentos,7
@anelirela Permitenos apoyarte,3
mexico y colombia son paises amigos,5
RT @blancoduran: Oye @Telcel deberias implementar 1 fila especial para adultos mayores mujeres embarazadas y personas discapacitadas en ate,5
Ma\96ana he quedado con mi mejor amiga y estoy super feliz ... Llevo sin verla desde Navidades.,7
chinga tu madre,1
@carreja82 de cobertura. Un saludo,5
(1/2) @ErnestoNemer Al parecer @MovistarMX intenta localizarme,4
no me siento muy,4
@virginmobilemx acabo de pedir chips pero en el correo de confirmacion no aparece el numero exterior de la direccion. Habra algun problema?,3
no me siento muy,4
Que permitira este nuevo servicio de pago en linea? Te decimos con que funciones contara Telcel Pay,4
RT @FangirlMT: Si no me llenan el Movistar Arena les doy de pata en la raja,3
@virginmobilemx hay promo de portabilidad?,4
@jack_cu https://t.co/tPlhQq6Z5N Animate,5
"Me cay\97 s\9Cper bien mi nuevo equipo de trabaj\97, definitivamente estoy s\9Cper feliz con este nuevo cambio",7
@thelmijuay  que aproveches al maximo tu Plan #TelcelMaxSinLimite https://t.co/NMUndgi7c3 Que dices?  AL,5
Me compr\8E muchas cosas en tommy con solo 100 d\97lares!!! Estoy s\9Cper impactada y feliz pic.twitter.com/ICg99jaR2I,7
RT @ANONSPAIN_: La AEPD permite a Movistar recoger la geolocalizacion de los moviles,4
. @movistar_es se lanza de lleno a los #eSports con @Movistar_Riders  https://t.co/cL8SqR5kDQ,4
@Telcel @pawiniwiss  cierto! https://t.co/zjuI5mDKUS,4
es porqueria,2
@Telcel hola buen dia,5
me gusta,5
El unico que me enviaba era Movistar y ya ni me envia ,3
@MovistarCol sin senal por problemas en la red de movistar en girardot https://t.co/FZSRuBqSgP,2
Ahhh entonces es eso??? Y pensar que creia que era Telcel!!! https://t.co/JXjzwKAj6B,2
@JonaTMCDMX  ...por favor envianos por DM o al correo servicio@telcel.com el nombre completo del titular,4
Movistar+ F1 comienza con equipo renovado - https://t.co/gara37pGE8 https://t.co/zMVMy1EaQA,5
Dos horas sin whatsapp por que la red de Telcel NO SIRVE no fuera para cobrarte ahi si estan buenos ,2
@cvab84 jajajaja oh cielos. Y en telcel que te dicen? Ya hubieras hecho arder un CAT.,5
@Osiris_Osorio ...los numeros que se comunican por promociones de parte de Telcel. Estamos al pendiente de tu respuesta. Saludos. Atte: VA.,5
me gustara,5
Estoy super feliz ! No le sacan est\87 sonrisa con nada,7
Movistar+: No queremos ser comparados con Netflix y HBO https://t.co/qdSph6n8vz https://t.co/4AbkNfxSF4,4
telcel apesta,2
RT @BlackThornClub: Tienes una cita hoy a las 19:00 en nuestro canal para ver este partidazo @Movistar_Riders vs Looking for club\n https:/,5
Que flojera que telcel siempre esta llenisimo,3
THE 1975 WHO? JAJAJAJA AY ESTOY SUPER FELIZ PORQUE 4 MESES DESPU\83S VAMOS A VERNOS DE NUEVO https:// twitter.com/mychemicalalba _/status/821094704506925056 ,7
ESTOY S\F2PER FEL\EAZ PORQUE AL FIN RECUPER\83 MI TWITTER,7
RT @bettanzoss: Me llamaron de Telcel para preguntarme si ya tengo algun plan,3
La empresa feliz,6
#LaLiga | Gracias a @movistar_sv ,4
Senores de @movistar_sv les deje un DM,4
@ATTMx Me quejare por aqui porque en sus CAC uno no puede poner ni una queja. Espero que muchos NO decidan @CambiATTMx,2
@Telcel @ServicioTelcel ya me pude comunicar con ustedes,5
@Telcel @Cruz_Azul_FC Listo,4
@ElJuanpaZurita Estoy S\F2PER .. FELIZ por todo lo que as logrado juanpa eres una persona para admirar Te Amo y te deceo lo mejor.,7
RT @Telcel: @krlitt_ Estamos para servirte en lo que necesites Pau! Al realizar tu portabilidad a Telcel,5
@Unefon muchas gracias,6
Como puedo levantar una queja contra un servicio que no contrate o llame,3
@CaritooBTR Gracias e igual para vos,5
NFL en Movistar+\nGracias @azanoniplus https://t.co/jtEYAG4iST,5
@Unefon Hola UNEFON,5
@freddyleyva FREDDO ESTOY SUPER ORGULLOSA DE TI FELIZ CUMPLEA\84OS QUE TE LA PASES S\F2PER BIEN TE KIERO MUCHOOO,7
Maldito Telcel lento !!!!!!,1
"@polaroidslauren Ainara tienes absolutamente toda la raz\97n, separadas cada qui\8En est\87 bien, y soy mega s\9Cper fan de Camila, estoy feliz .",7
Movistar+ responde a Netflix y HBO: estrenaran cuatro series propias en 2017 y diez en 2018 https://t.co/maDoPeShBT https://t.co/IDWPReLlN4,4
@Yoigo_Valladoli y,4
méxico y colombia,6
RT @HaydeeN3: Alguien sabe que compania de telefonia celular es mejor y por que ?? Yo ahorita estoy con #telcel y pesimo. Mi factura salio,3
Hoy a las 7 seguiremos con el 2 clasificatorio a #LoLSegunda en  Debutara @Movistar_Riders! https://t.co/JDy0oO2iOt,4
porqueria,1
nadie me atiende,2
"Much\92simas gracias estoy s\9Cper ,hiper,mega feliz me hiciste la noche !QUIERO DEMASIADO! Te lo juro te mando unos besote @PaoPoulain pic.twitter.com/KCYAhqACxs",7
Mas muerta que Jenny Rivera,3
donald trump,3
@DrOrtizf Hey! Ahorra tiempo al realizar tramites y consultas en tu linea con Mi Telcel https://t.co/ELvCK6XHpb,4
mexico y colombia son paises amigos,5
chinga tu madre,1
no me siento muy,4
la puta que te pario,1
Como pasa el tiempo,4
"Hay d\92as que estoy super feliz y me quiero comer el mundo, hoy no es uno de esos",7
"Mi inestabilidad emocional es preocupante, mira un segundo estoy super feliz y al otro estoy teniendo un brote psic\97tico.",7
@HyunRae_Jones ESTOY SUPER FELIZ,7
RT @nbaplus: Un Warriors-Cavs a las 02:00h en Movistar Deportes 1?\nEso si que es uno de nuestros #SuenosNBA. https://t.co/L6iuOQO5Jm,5
Cuando los datos me funcionan mejor que el modem que tengo a un lado,3
@ElJuanpaZurita @LouisVuitton ahy me haces tan feliz que te este pasando esto tan lindo estoy super orgullora por vos,7
